X,Y,Name,description
-74.02648926,40.71423721,oneConnect-Public,"Network ID: 00:BE:75:6F:70:6D
Encryption: Unknown
Time: 2023-07-25T16:14:41.000-07:00
Signal: -91.0
Accuracy: 4.91546
Type: WIFI"
-74.02627563,40.71517181,oneConnect-Guest,"Network ID: 00:BE:75:6F:70:6E
Encryption: Unknown
Time: 2023-07-25T16:14:54.000-07:00
Signal: -85.0
Accuracy: 5.23971
Type: WIFI"
-74.00839233,40.76336288,(no SSID),"Network ID: 00:FC:BA:53:68:0D
Encryption: WPA2
Time: 2023-07-25T16:37:15.000-07:00
Signal: -90.0
Accuracy: 4.01482
Type: WIFI"
-74.00839233,40.76336288,(no SSID),"Network ID: 00:FC:BA:64:A1:44
Encryption: Unknown
Time: 2023-07-25T16:37:15.000-07:00
Signal: -89.0
Accuracy: 4.01482
Type: WIFI"
-74.0406723,40.68694687,(no SSID),"Network ID: 02:12:63:49:13:7C
Encryption: WPA2
Time: 2023-07-25T16:07:22.000-07:00
Signal: -89.0
Accuracy: 4.40187
Type: WIFI"
-74.03898621,40.68847656,(no SSID),"Network ID: 02:12:63:49:13:7D
Encryption: WPA2
Time: 2023-07-25T16:08:12.000-07:00
Signal: -93.0
Accuracy: 5.78473
Type: WIFI"
-74.00158691,40.76298523,PurpleAir,"Network ID: 02:18:4A:93:39:80
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -90.0
Accuracy: 10.5043
Type: WIFI"
-74.00153351,40.76300812,Pier83-Office,"Network ID: 02:18:4A:93:39:86
Encryption: WPA2
Time: 2023-07-25T16:46:59.000-07:00
Signal: -90.0
Accuracy: 10.5043
Type: WIFI"
-74.00156403,40.76299286,(no SSID),"Network ID: 02:18:4A:93:39:8F
Encryption: WEP
Time: 2023-07-25T16:47:19.000-07:00
Signal: -84.0
Accuracy: 25.9157
Type: WIFI"
-74.00158691,40.76298523,NYCL_Public,"Network ID: 02:18:4A:93:3A:90
Encryption: Unknown
Time: 2023-07-25T16:45:06.000-07:00
Signal: -94.0
Accuracy: 27.3306
Type: WIFI"
-74.00158691,40.76298523,NYCL WiFi,"Network ID: 02:18:4A:93:3A:91
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -93.0
Accuracy: 27.3306
Type: WIFI"
-74.00158691,40.76298523,PurpleAir,"Network ID: 02:18:4A:93:3A:93
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -92.0
Accuracy: 27.3306
Type: WIFI"
-74.00158691,40.76298523,PurpleAir,"Network ID: 02:18:5A:93:39:80
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -91.0
Accuracy: 13.0627
Type: WIFI"
-74.00158691,40.76298523,(no SSID),"Network ID: 02:18:5A:93:39:81
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -90.0
Accuracy: 27.3306
Type: WIFI"
-74.00158691,40.76298523,Circle line-Public,"Network ID: 02:18:5A:93:39:82
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -91.0
Accuracy: 27.3306
Type: WIFI"
-74.00158691,40.76298523,Pier83-Office,"Network ID: 02:18:5A:93:39:86
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -91.0
Accuracy: 13.0627
Type: WIFI"
-74.00158691,40.76298523,(no SSID),"Network ID: 02:18:5A:93:39:8F
Encryption: WEP
Time: 2023-07-25T16:45:06.000-07:00
Signal: -93.0
Accuracy: 15.4874
Type: WIFI"
-74.0015564,40.76298141,NYCL_Public,"Network ID: 02:18:5A:93:3A:90
Encryption: Unknown
Time: 2023-07-25T16:47:34.000-07:00
Signal: -92.0
Accuracy: 14.6082
Type: WIFI"
-74.0015564,40.76298141,NYCL WiFi,"Network ID: 02:18:5A:93:3A:91
Encryption: WPA2
Time: 2023-07-25T16:47:34.000-07:00
Signal: -91.0
Accuracy: 14.6082
Type: WIFI"
-74.0015564,40.76298141,PurpleAir,"Network ID: 02:18:5A:93:3A:93
Encryption: WPA2
Time: 2023-07-25T16:47:34.000-07:00
Signal: -92.0
Accuracy: 14.6082
Type: WIFI"
-74.00157928,40.7630043,(no SSID),"Network ID: 02:18:5A:93:3A:9F
Encryption: WEP
Time: 2023-07-25T16:48:31.000-07:00
Signal: -90.0
Accuracy: 13.0627
Type: WIFI"
-74.02602386,40.71642303,Spectrum Mobile,"Network ID: 02:19:5D:3A:8D:4C
Encryption: WPA2
Time: 2023-07-25T16:15:11.000-07:00
Signal: -90.0
Accuracy: 4.68533
Type: WIFI"
-74.00991821,40.76154709,(no SSID),"Network ID: 02:35:FB:8E:BA:50
Encryption: Unknown
Time: 2023-07-25T16:36:16.000-07:00
Signal: -77.0
Accuracy: 5.16616
Type: WIFI"
-74.02616119,40.71582031,Dotdash Meredith guest,"Network ID: 02:7B:D8:EA:38:4C
Encryption: WPA2
Time: 2023-07-25T16:15:03.000-07:00
Signal: -83.0
Accuracy: 5.2682
Type: WIFI"
-74.00202942,40.76343536,(no SSID),"Network ID: 02:8D:CB:70:0D:14
Encryption: WPA2
Time: 2023-07-25T16:41:19.000-07:00
Signal: -83.0
Accuracy: 13.0337
Type: WIFI"
-74.00261688,40.76376724,(no SSID),"Network ID: 02:8D:DB:70:0D:14
Encryption: WPA2
Time: 2023-07-25T16:40:39.000-07:00
Signal: -80.0
Accuracy: 11.2631
Type: WIFI"
-74.02863312,40.70798111,(no SSID),"Network ID: 02:9F:C2:3E:4F:FD
Encryption: WPA2
Time: 2023-07-25T16:13:12.000-07:00
Signal: -87.0
Accuracy: 5.03154
Type: WIFI"
-74.02767181,40.71140671,(no SSID),"Network ID: 02:9F:C2:3E:BA:DB
Encryption: WPA2
Time: 2023-07-25T16:14:00.000-07:00
Signal: -90.0
Accuracy: 3.70076
Type: WIFI"
-74.02553558,40.71813202,gt2.4,"Network ID: 04:42:1A:4F:40:F0
Encryption: WPA2
Time: 2023-07-25T16:15:35.000-07:00
Signal: -82.0
Accuracy: 5.33958
Type: WIFI"
-74.02845001,40.70921707,(no SSID),"Network ID: 04:42:1A:91:55:58
Encryption: WPA2
Time: 2023-07-25T16:13:29.000-07:00
Signal: -92.0
Accuracy: 5.03154
Type: WIFI"
-74.02598572,40.71656036,bundanoon24,"Network ID: 04:92:26:82:50:58
Encryption: WPA2
Time: 2023-07-25T16:15:13.000-07:00
Signal: -84.0
Accuracy: 4.82606
Type: WIFI"
-74.02784729,40.71106339,yobo,"Network ID: 04:A2:22:F9:44:80
Encryption: WPA2
Time: 2023-07-25T16:13:55.000-07:00
Signal: -81.0
Accuracy: 4.32691
Type: WIFI"
-74.02693939,40.71298981,yobo,"Network ID: 04:A2:22:F9:44:81
Encryption: WPA2
Time: 2023-07-25T16:14:23.000-07:00
Signal: -89.0
Accuracy: 3.70008
Type: WIFI"
-74.02693939,40.71298981,yobo,"Network ID: 04:A2:22:F9:44:82
Encryption: WPA2
Time: 2023-07-25T16:14:23.000-07:00
Signal: -89.0
Accuracy: 3.70008
Type: WIFI"
-74.02627563,40.71517181,(no SSID),"Network ID: 06:31:92:14:E6:7A
Encryption: WPA2
Time: 2023-07-25T16:14:54.000-07:00
Signal: -81.0
Accuracy: 5.23971
Type: WIFI"
-74.02863312,40.70798111,(no SSID),"Network ID: 06:9F:C2:3E:4F:FD
Encryption: WPA2
Time: 2023-07-25T16:13:12.000-07:00
Signal: -87.0
Accuracy: 3.70076
Type: WIFI"
-74.00912476,40.76254654,NIGHTHAWK,"Network ID: 08:02:8E:E8:9C:EC
Encryption: WPA2
Time: 2023-07-25T16:36:50.000-07:00
Signal: -80.0
Accuracy: 4.01649
Type: WIFI"
-74.02363586,40.72385025,(no SSID),"Network ID: 0A:11:EE:48:60:33
Encryption: WPA2
Time: 2023-07-25T16:16:55.000-07:00
Signal: -87.0
Accuracy: 22.1974
Type: WIFI"
-74.02622986,40.7154007,(no SSID),"Network ID: 0A:56:EE:C8:08:BF
Encryption: WPA2
Time: 2023-07-25T16:14:57.000-07:00
Signal: -91.0
Accuracy: 4.92336
Type: WIFI"
-74.02619934,40.7156105,Dotdashmeredith,"Network ID: 0A:7B:D8:EA:38:4C
Encryption: WPA2
Time: 2023-07-25T16:15:00.000-07:00
Signal: -87.0
Accuracy: 4.68533
Type: WIFI"
-74.02837372,40.70960999,GI_Private,"Network ID: 0A:8D:CB:D9:26:AA
Encryption: WPA2
Time: 2023-07-25T16:13:34.000-07:00
Signal: -88.0
Accuracy: 3.70152
Type: WIFI"
-74.00158691,40.76298523,ShowTime,"Network ID: 0C:8D:DB:D9:28:2A
Encryption: WPA2
Time: 2023-07-25T16:45:06.000-07:00
Signal: -88.0
Accuracy: 27.3306
Type: WIFI"
-74.00975037,40.76181793,MAV,"Network ID: 0C:F4:D5:2D:FD:5C
Encryption: WPA2
Time: 2023-07-25T16:36:25.000-07:00
Signal: -89.0
Accuracy: 4.58274
Type: WIFI"
-74.00975037,40.76181793,JLL_Mgmt,"Network ID: 0C:F4:D5:6D:FD:5C
Encryption: WPA2
Time: 2023-07-25T16:36:25.000-07:00
Signal: -86.0
Accuracy: 4.58274
Type: WIFI"
-74.00975037,40.76181793,540W26_Guest,"Network ID: 0C:F4:D5:AD:FD:5C
Encryption: WPA2
Time: 2023-07-25T16:36:25.000-07:00
Signal: -88.0
Accuracy: 4.58274
Type: WIFI"
-74.02602386,40.71642303,Spectrum Mobile,"Network ID: 0E:05:95:83:54:57
Encryption: WPA2
Time: 2023-07-25T16:15:11.000-07:00
Signal: -87.0
Accuracy: 4.68533
Type: WIFI"
-74.00157928,40.76301956,ShowTime,"Network ID: 0E:8D:CB:D9:28:2A
Encryption: WPA2
Time: 2023-07-25T16:48:19.000-07:00
Signal: -87.0
Accuracy: 10.1334
Type: WIFI"
-74.02752686,40.71167755,1stBorn-5,"Network ID: 10:0C:6B:FA:06:09
Encryption: WPA2
Time: 2023-07-25T16:14:04.000-07:00
Signal: -87.0
Accuracy: 3.79472
Type: WIFI"
-74.00991821,40.76154709,(no SSID),"Network ID: 12:35:FB:8E:BA:50
Encryption: Unknown
Time: 2023-07-25T16:36:16.000-07:00
Signal: -78.0
Accuracy: 5.16616
Type: WIFI"
-74.02767181,40.71140671,(no SSID),"Network ID: 12:3F:1B:59:0B:8E
Encryption: WPA2
Time: 2023-07-25T16:14:00.000-07:00
Signal: -91.0
Accuracy: 3.70076
Type: WIFI"
-74.02760315,40.71153641,ARLO_VMB_1560026206,"Network ID: 14:59:C0:A7:DE:C8
Encryption: WPA2
Time: 2023-07-25T16:14:02.000-07:00
Signal: -80.0
Accuracy: 3.8557
Type: WIFI"
-74.02693939,40.71298981,joecbos,"Network ID: 14:7D:05:68:69:9E
Encryption: WPA2
Time: 2023-07-25T16:14:23.000-07:00
Signal: -89.0
Accuracy: 3.70008
Type: WIFI"
-74.04071045,40.68690872,yamandou's Network 5GHz,"Network ID: 14:DD:A9:85:9B:F4
Encryption: WPA2
Time: 2023-07-25T16:07:20.000-07:00
Signal: -91.0
Accuracy: 4.66135
Type: WIFI"
-74.02661896,40.71380997,(no SSID),"Network ID: 16:11:32:96:49:3F
Encryption: WPA2
Time: 2023-07-25T16:14:35.000-07:00
Signal: -88.0
Accuracy: 5.30288
Type: WIFI"
-74.02812958,40.7103653,IslandNet Admin,"Network ID: 16:8D:CB:D9:26:AA
Encryption: WPA2
Time: 2023-07-25T16:13:45.000-07:00
Signal: -85.0
Accuracy: 3.78449
Type: WIFI"
-74.02507782,40.71935654,(no SSID),"Network ID: 16:93:7C:C6:63:E3
Encryption: WPA2
Time: 2023-07-25T16:15:52.000-07:00
Signal: -90.0
Accuracy: 5.99817
Type: WIFI"
-74.0258255,40.71722412,#DwntwnAllianceFreeWiFi,"Network ID: 18:4B:0D:21:A9:9C
Encryption: Unknown
Time: 2023-07-25T16:15:23.000-07:00
Signal: -91.0
Accuracy: 7.05544
Type: WIFI"
-74.02661896,40.71380997,#DwntwnAllianceFreeWiFi,"Network ID: 18:4B:0D:26:C4:3C
Encryption: Unknown
Time: 2023-07-25T16:14:35.000-07:00
Signal: -84.0
Accuracy: 4.92336
Type: WIFI"
-74.02655792,40.71401215,#DwntwnAllianceFreeWiFi,"Network ID: 18:4B:0D:26:D1:5C
Encryption: Unknown
Time: 2023-07-25T16:14:38.000-07:00
Signal: -83.0
Accuracy: 4.59738
Type: WIFI"
-74.0258255,40.71722412,#Battery Park City Free WiFi,"Network ID: 18:4B:0D:61:A9:9C
Encryption: Unknown
Time: 2023-07-25T16:15:23.000-07:00
Signal: -89.0
Accuracy: 7.05544
Type: WIFI"
-74.02661896,40.71380997,#Battery Park City Free WiFi,"Network ID: 18:4B:0D:66:C4:3C
Encryption: Unknown
Time: 2023-07-25T16:14:35.000-07:00
Signal: -85.0
Accuracy: 5.09479
Type: WIFI"
-74.02655792,40.71401215,#Battery Park City Free WiFi,"Network ID: 18:4B:0D:66:D1:5C
Encryption: Unknown
Time: 2023-07-25T16:14:38.000-07:00
Signal: -83.0
Accuracy: 4.59738
Type: WIFI"
-74.0258255,40.71722412,(no SSID),"Network ID: 18:4B:0D:A1:A9:9C
Encryption: WPA2
Time: 2023-07-25T16:15:23.000-07:00
Signal: -91.0
Accuracy: 7.05544
Type: WIFI"
-74.02655792,40.71401215,(no SSID),"Network ID: 18:4B:0D:A6:C4:37
Encryption: WPA2
Time: 2023-07-25T16:14:38.000-07:00
Signal: -85.0
Accuracy: 4.59738
Type: WIFI"
-74.02661896,40.71380997,(no SSID),"Network ID: 18:4B:0D:A6:C4:3C
Encryption: WPA2
Time: 2023-07-25T16:14:35.000-07:00
Signal: -85.0
Accuracy: 4.59738
Type: WIFI"
-74.02661896,40.71380997,(no SSID),"Network ID: 18:4B:0D:A6:D1:5C
Encryption: WPA2
Time: 2023-07-25T16:14:35.000-07:00
Signal: -85.0
Accuracy: 3.85326
Type: WIFI"
-74.0258255,40.71722412,Orion,"Network ID: 18:4B:0D:E1:A9:9C
Encryption: WPA2
Time: 2023-07-25T16:15:23.000-07:00
Signal: -91.0
Accuracy: 7.05544
Type: WIFI"
-74.02661896,40.71380997,Orion,"Network ID: 18:4B:0D:E6:C4:3C
Encryption: WPA2
Time: 2023-07-25T16:14:35.000-07:00
Signal: -84.0
Accuracy: 5.09479
Type: WIFI"
-74.02661896,40.71380997,Orion,"Network ID: 18:4B:0D:E6:D1:5C
Encryption: WPA2
Time: 2023-07-25T16:14:35.000-07:00
Signal: -85.0
Accuracy: 4.59738
Type: WIFI"
-74.02586365,40.71709442,GammaNJ,"Network ID: 18:E8:29:9B:72:2F
Encryption: WPA2
Time: 2023-07-25T16:15:21.000-07:00
Signal: -93.0
Accuracy: 6.40248
Type: WIFI"
-74.02752686,40.71167755,1stBorn-G,"Network ID: 1A:0C:6B:FA:06:09
Encryption: WPA2
Time: 2023-07-25T16:14:04.000-07:00
Signal: -89.0
Accuracy: 3.79472
Type: WIFI"
-74.00925446,40.76239395,(no SSID),"Network ID: 1A:8D:CB:70:04:1B
Encryption: WPA2
Time: 2023-07-25T16:36:45.000-07:00
Signal: -85.0
Accuracy: 4.01684
Type: WIFI"
-74.0016861,40.76290131,(no SSID),"Network ID: 1A:8D:CB:70:09:9B
Encryption: WPA2
Time: 2023-07-25T16:44:39.000-07:00
Signal: -90.0
Accuracy: 40.4914
Type: WIFI"
-74.00898743,40.76269913,(no SSID),"Network ID: 1A:8D:CB:70:0D:2F
Encryption: WPA2
Time: 2023-07-25T16:36:55.000-07:00
Signal: -87.0
Accuracy: 4.01615
Type: WIFI"
-74.01005554,40.76133347,Harbor Amenities,"Network ID: 1A:E8:29:58:D0:B9
Encryption: Unknown
Time: 2023-07-25T16:36:07.000-07:00
Signal: -92.0
Accuracy: 5.84236
Type: WIFI"
-74.00907135,40.76260757,(no SSID),"Network ID: 1C:B9:C4:74:25:CC
Encryption: WPA2
Time: 2023-07-25T16:36:52.000-07:00
Signal: -90.0
Accuracy: 4.01636
Type: WIFI"
-74.04367065,40.68509674,GOLD,"Network ID: 1C:DE:A7:DF:0C:6D
Encryption: WPA2
Time: 2023-07-25T16:05:58.000-07:00
Signal: -89.0
Accuracy: 5.8186
Type: WIFI"
-74.04373932,40.68506622,SILVER,"Network ID: 1C:DE:A7:DF:0C:6E
Encryption: WPA2
Time: 2023-07-25T16:05:56.000-07:00
Signal: -90.0
Accuracy: 5.68999
Type: WIFI"
-74.04389954,40.68501282,PLATINUM,"Network ID: 1C:DE:A7:DF:0C:6F
Encryption: WPA2
Time: 2023-07-25T16:05:52.000-07:00
Signal: -93.0
Accuracy: 6.01594
Type: WIFI"
-74.00925446,40.76239395,(no SSID),"Network ID: 1E:8D:CB:70:04:1B
Encryption: WPA2
Time: 2023-07-25T16:36:45.000-07:00
Signal: -84.0
Accuracy: 4.01684
Type: WIFI"
-74.04442596,40.68495178,(no SSID),"Network ID: 1E:8D:CB:70:08:F7
Encryption: WPA2
Time: 2023-07-25T16:05:41.000-07:00
Signal: -79.0
Accuracy: 3.94433
Type: WIFI"
-74.04486084,40.68503571,(no SSID),"Network ID: 1E:8D:CB:70:0A:E9
Encryption: WPA2
Time: 2023-07-25T16:05:31.000-07:00
Signal: -89.0
Accuracy: 3.85326
Type: WIFI"
-74.04442596,40.68495178,(no SSID),"Network ID: 1E:8D:CB:70:0B:28
Encryption: WPA2
Time: 2023-07-25T16:05:41.000-07:00
Signal: -71.0
Accuracy: 3.79472
Type: WIFI"
-74.0451355,40.68633652,(no SSID),"Network ID: 1E:8D:CB:70:0C:90
Encryption: WPA2
Time: 2023-07-25T16:04:35.000-07:00
Signal: -89.0
Accuracy: 4.76058
Type: WIFI"
-74.00255585,40.76373672,(no SSID),"Network ID: 1E:8D:CB:70:0C:94
Encryption: WPA2
Time: 2023-07-25T16:40:43.000-07:00
Signal: -84.0
Accuracy: 10.8875
Type: WIFI"
-74.00255585,40.76373672,(no SSID),"Network ID: 1E:8D:CB:70:0C:E4
Encryption: WPA2
Time: 2023-07-25T16:40:43.000-07:00
Signal: -78.0
Accuracy: 10.6091
Type: WIFI"
-74.04460144,40.68497086,(no SSID),"Network ID: 1E:8D:CB:70:0C:F4
Encryption: WPA2
Time: 2023-07-25T16:05:37.000-07:00
Signal: -60.0
Accuracy: 3.70076
Type: WIFI"
-74.00274658,40.76382065,(no SSID),"Network ID: 1E:8D:CB:70:0D:03
Encryption: WPA2
Time: 2023-07-25T16:40:33.000-07:00
Signal: -84.0
Accuracy: 10.6091
Type: WIFI"
-74.00898743,40.76269913,(no SSID),"Network ID: 1E:8D:CB:70:0D:2F
Encryption: WPA2
Time: 2023-07-25T16:36:55.000-07:00
Signal: -87.0
Accuracy: 4.01615
Type: WIFI"
-74.04541779,40.68619537,(no SSID),"Network ID: 1E:8D:DB:70:08:E3
Encryption: WPA2
Time: 2023-07-25T16:04:44.000-07:00
Signal: -81.0
Accuracy: 5.00297
Type: WIFI"
-74.04381561,40.68503952,(no SSID),"Network ID: 1E:8D:DB:70:08:F7
Encryption: WPA2
Time: 2023-07-25T16:05:54.000-07:00
Signal: -79.0
Accuracy: 3.70152
Type: WIFI"
-74.04345703,40.68518448,(no SSID),"Network ID: 1E:8D:DB:70:0A:E9
Encryption: WPA2
Time: 2023-07-25T16:06:03.000-07:00
Signal: -85.0
Accuracy: 3.70152
Type: WIFI"
-74.04442596,40.68495178,(no SSID),"Network ID: 1E:8D:DB:70:0B:28
Encryption: WPA2
Time: 2023-07-25T16:05:41.000-07:00
Signal: -62.0
Accuracy: 3.78449
Type: WIFI"
-74.04480743,40.68639374,(no SSID),"Network ID: 1E:8D:DB:70:0C:90
Encryption: WPA2
Time: 2023-07-25T16:04:26.000-07:00
Signal: -79.0
Accuracy: 5.90951
Type: WIFI"
-74.00261688,40.76376724,(no SSID),"Network ID: 1E:8D:DB:70:0C:94
Encryption: WPA2
Time: 2023-07-25T16:40:39.000-07:00
Signal: -69.0
Accuracy: 10.2425
Type: WIFI"
-74.00234985,40.76364517,(no SSID),"Network ID: 1E:8D:DB:70:0C:E4
Encryption: WPA2
Time: 2023-07-25T16:40:54.000-07:00
Signal: -68.0
Accuracy: 12.3301
Type: WIFI"
-74.04373932,40.68506622,(no SSID),"Network ID: 1E:8D:DB:70:0C:F4
Encryption: WPA2
Time: 2023-07-25T16:05:56.000-07:00
Signal: -57.0
Accuracy: 4.01615
Type: WIFI"
-74.00158691,40.7630043,(no SSID),"Network ID: 1E:8D:DB:70:0D:03
Encryption: WPA2
Time: 2023-07-25T16:46:55.000-07:00
Signal: -87.0
Accuracy: 10.4125
Type: WIFI"
-74.02645111,40.71437454,Spectrum Mobile,"Network ID: 1E:93:BC:FD:FC:53
Encryption: WPA2
Time: 2023-07-25T16:14:43.000-07:00
Signal: -81.0
Accuracy: 5.26052
Type: WIFI"
-74.02710724,40.71255875,Spectrum Mobile,"Network ID: 1E:9A:7D:1D:84:FB
Encryption: WPA2
Time: 2023-07-25T16:14:17.000-07:00
Signal: -90.0
Accuracy: 3.62262
Type: WIFI"
-74.04139709,40.68632126,xfinitywifi,"Network ID: 1E:9D:72:77:89:63
Encryption: Unknown
Time: 2023-07-25T16:06:55.000-07:00
Signal: -91.0
Accuracy: 5.8186
Type: WIFI"
-74.01013184,40.76118851,HONEST.NET WIFI,"Network ID: 1E:E8:29:5B:8B:0D
Encryption: Unknown
Time: 2023-07-25T16:36:01.000-07:00
Signal: -91.0
Accuracy: 7.11836
Type: WIFI"
